Date,HT,AT,HS,AS
29/1/2012,Audax Italiano,Unión Española,0,2
28/2/2012,Universidad de Chile,Cobreloa,4,1
3/2/2012,Universidad de Concepcion,Audax Italiano,1,1
4/2/2012,Palestino,Huachipato,2,2
4/2/2012,Wanderers,Universidad Catolica,2,1
4/2/2012,La Serena,Universidad de Chile,1,3
4/2/2012,Colo Colo,O'Higgins,1,0
5/2/2012,Antofagasta,Iquique,1,1
5/2/2012,Cobreloa,Union Calera,1,0
5/2/2012,Unión Española,Cobresal,6,1
5/2/2012,San Felipe,Rangers,0,0
10/2/2012,Universidad de Chile,Iquique,1,1
11/2/2012,Union Calera,Palestino,1,1
11/2/2012,Cobresal,Colo Colo,2,2
11/2/2012,Huachipato,La Serena,1,1
11/2/2012,Audax Italiano,Cobreloa,1,1
12/2/2012,Antofagasta,Universidad de Concepcion,2,1
12/2/2012,Rangers,Wanderers,2,3
12/2/2012,Unión Española,O'Higgins,0,2
12/2/2012,Universidad Catolica,San Felipe,1,1
17/2/2012,San Felipe,Unión Española,3,1
18/2/2012,Universidad de Concepcion,Cobresal,1,1
18/2/2012,Iquique,Rangers,2,0
18/2/2012,Wanderers,Audax Italiano,4,2
18/2/2012,Palestino,Universidad de Chile,1,3
18/2/2012,La Serena,O'Higgins,2,2
19/2/2012,Cobreloa,Huachipato,4,2
19/2/2012,Universidad Catolica,Antofagasta,1,0
19/2/2012,Colo Colo,Union Calera,3,1
24/2/2012,Audax Italiano,Palestino,1,2
25/2/2012,Rangers,Cobreloa,0,3
25/2/2012,Iquique,Huachipato,1,0
25/2/2012,O'Higgins,Universidad de Chile,3,0
25/2/2012,Colo Colo,Universidad de Concepcion,1,2
25/2/2012,La Serena,Wanderers,3,1
26/2/2012,Antofagasta,San Felipe,0,0
26/2/2012,Cobresal,Union Calera,1,4
26/2/2012,Unión Española,Universidad Catolica,2,2
2/3/2012,Universidad Catolica,Rangers,2,0
3/3/2012,Universidad de Chile,Cobresal,3,1
3/3/2012,Palestino,Unión Española,1,3
3/3/2012,Iquique,Audax Italiano,1,2
3/3/2012,Universidad de Concepcion,O'Higgins,1,3
3/3/2012,San Felipe,Huachipato,1,2
4/3/2012,Cobreloa,La Serena,2,2
4/3/2012,Wanderers,Colo Colo,0,0
4/3/2012,Union Calera,Antofagasta,0,0
9/3/2012,Rangers,Palestino,2,0
10/3/2012,Unión Española,Huachipato,1,3
10/3/2012,Universidad de Concepcion,Cobreloa,3,1
10/3/2012,Audax Italiano,Universidad de Chile,0,6
10/3/2012,San Felipe,Union Calera,0,0
11/3/2012,Antofagasta,Wanderers,1,0
11/3/2012,Cobresal,Iquique,0,4
11/3/2012,O'Higgins,Universidad Catolica,1,2
11/3/2012,Colo Colo,La Serena,0,2
16/3/2012,Wanderers,San Felipe,1,0
17/3/2012,La Serena,Universidad de Concepcion,1,0
17/3/2012,Iquique,O'Higgins,1,2
17/3/2012,Palestino,Cobresal,2,1
17/3/2012,Cobreloa,Colo Colo,0,2
17/3/2012,Universidad de Chile,Unión Española,3,2
17/3/2012,Huachipato,Antofagasta,2,0
18/3/2012,Union Calera,Universidad Catolica,1,0
18/3/2012,Audax Italiano,Rangers,3,0
23/3/2012,San Felipe,Universidad de Chile,0,1
23/3/2012,Universidad de Concepcion,Wanderers,2,5
24/3/2012,Unión Española,La Serena,5,2
24/3/2012,O'Higgins,Union Calera,2,1
24/3/2012,Universidad Catolica,Iquique,1,1
24/3/2012,Rangers,Huachipato,2,1
25/3/2012,Antofagasta,Cobreloa,1,0
25/3/2012,Cobresal,Audax Italiano,3,1
25/3/2012,Colo Colo,Palestino,0,1
30/3/2012,La Serena,San Felipe,2,1
31/3/2012,Wanderers,Cobresal,5,2
31/3/2012,Iquique,Universidad de Concepcion,2,0
31/3/2012,Palestino,Antofagasta,0,0
31/3/2012,Audax Italiano,Universidad Catolica,2,0
31/3/2012,Union Calera,Unión Española,1,0
1/4/2012,Cobreloa,O'Higgins,0,1
1/4/2012,Huachipato,Colo Colo,0,3
1/4/2012,Universidad de Chile,Rangers,2,0
7/4/2012,Unión Española,Colo Colo,4,2
7/4/2012,Rangers,Union Calera,2,0
7/4/2012,Iquique,La Serena,3,1
7/4/2012,O'Higgins,San Felipe,2,1
7/4/2012,Universidad de Concepcion,Palestino,2,0
8/4/2012,Antofagasta,Audax Italiano,1,2
8/4/2012,Cobresal,Huachipato,0,2
8/4/2012,Universidad de Chile,Wanderers,3,0
8/4/2012,Universidad Catolica,Cobreloa,5,1
13/4/2012,Unión Española,Rangers,2,1
14/4/2012,Palestino,Wanderers,2,1
14/4/2012,Colo Colo,Universidad Catolica,1,1
14/4/2012,San Felipe,Universidad de Concepcion,2,2
14/4/2012,La Serena,Audax Italiano,2,4
15/4/2012,Antofagasta,Cobresal,2,1
15/4/2012,Cobreloa,Iquique,0,1
15/4/2012,Union Calera,Universidad de Chile,0,1
15/4/2012,Huachipato,O'Higgins,2,1
20/4/2012,Audax Italiano,San Felipe,0,0
21/4/2012,O'Higgins,Palestino,5,0
21/4/2012,Iquique,Union Calera,3,3
21/4/2012,Wanderers,Unión Española,2,2
21/4/2012,Universidad de Concepcion,Huachipato,1,1
21/4/2012,Universidad Catolica,La Serena,3,0
22/4/2012,Cobresal,Cobreloa,0,1
22/4/2012,Rangers,Colo Colo,2,2
22/4/2012,Universidad de Chile,Antofagasta,4,0
27/4/2012,San Felipe,Cobreloa,0,3
28/4/2012,Unión Española,Universidad de Concepcion,4,1
28/4/2012,Palestino,Iquique,0,1
28/4/2012,Cobresal,Rangers,1,0
28/4/2012,Huachipato,Universidad Catolica,2,2
28/4/2012,La Serena,Antofagasta,4,1
28/4/2012,Wanderers,O'Higgins,0,1
29/4/2012,Universidad de Chile,Colo Colo,5,0
29/4/2012,Union Calera,Audax Italiano,1,1
4/5/2012,Audax Italiano,Huachipato,2,2
5/5/2012,Union Calera,La Serena,3,0
5/5/2012,Iquique,Wanderers,2,1
5/5/2012,Cobreloa,Palestino,1,0
5/5/2012,Colo Colo,San Felipe,1,0
6/5/2012,Antofagasta,Unión Española,1,1
6/5/2012,O'Higgins,Rangers,2,2
6/5/2012,Universidad de Concepcion,Universidad de Chile,2,0
6/5/2012,Universidad Catolica,Cobresal,5,0
11/5/2012,Huachipato,Union Calera,1,2
12/5/2012,Unión Española,Iquique,1,2
12/5/2012,Wanderers,Cobreloa,1,3
12/5/2012,Rangers,Universidad de Concepcion,1,2
12/5/2012,La Serena,Cobresal,1,1
12/5/2012,Colo Colo,Antofagasta,1,0
12/5/2012,San Felipe,Palestino,1,0
13/5/2012,Universidad Catolica,Universidad de Chile,2,1
13/5/2012,O'Higgins,Audax Italiano,3,1
18/5/2012,Union Calera,Wanderers,2,1
19/5/2012,Cobreloa,Unión Española,1,2
19/5/2012,Palestino,La Serena,1,0
19/5/2012,Iquique,San Felipe,4,1
19/5/2012,Audax Italiano,Colo Colo,1,3
20/5/2012,Antofagasta,Rangers,0,1
20/5/2012,Universidad de Concepcion,Universidad Catolica,1,1
20/5/2012,Cobresal,O'Higgins,1,0
20/5/2012,Universidad de Chile,Huachipato,4,0
5/12/2012,Unión Española,Huachipato,3,1
9/12/2012,Huachipato,Unión Española,3,1
28/11/2012,Unión Española,Colo Colo,3,1
29/11/2012,Huachipato,Rangers,1,0
2/12/2012,Colo Colo,Unión Española,0,2
2/12/2012,Rangers,Huachipato,1,1
20/11/2012,Audax Italiano,Colo Colo,0,2
20/11/2012,Huachipato,Palestino,1,1
21/11/2012,Unión Española,Universidad de Chile,0,0
21/11/2012,Rangers,Iquique,1,0
24/11/2012,Palestino,Huachipato,1,2
24/11/2012,Colo Colo,Audax Italiano,4,5
25/11/2012,Universidad de Chile,Unión Española,1,4
25/11/2012,Iquique,Rangers,0,1
6/7/2012,La Serena,Rangers,1,1
7/7/2012,Unión Española,Audax Italiano,3,3
7/7/2012,Universidad de Concepcion,Union Calera,0,0
7/7/2012,Wanderers,Huachipato,1,1
7/7/2012,San Felipe,Cobresal,0,0
8/7/2012,Iquique,Colo Colo,0,1
8/7/2012,Universidad Catolica,Palestino,0,1
15/8/2012,Antofagasta,O'Higgins,2,3
4/9/2012,Cobreloa,Universidad de Chile,0,1
13/7/2012,Audax Italiano,Universidad de Concepcion,2,2
13/7/2012,Iquique,Antofagasta,2,1
14/7/2012,Cobresal,Unión Española,2,1
14/7/2012,Union Calera,Cobreloa,1,0
14/7/2012,Universidad Catolica,Wanderers,3,2
14/7/2012,Huachipato,Palestino,1,1
15/7/2012,O'Higgins,Colo Colo,1,1
15/7/2012,Rangers,San Felipe,5,0
16/7/2012,Universidad de Chile,La Serena,5,2
20/7/2012,Universidad de Concepcion,Antofagasta,0,2
21/7/2012,O'Higgins,Unión Española,1,3
21/7/2012,Palestino,Union Calera,1,0
21/7/2012,Iquique,Universidad de Chile,0,0
21/7/2012,Cobreloa,Audax Italiano,1,2
21/7/2012,Wanderers,Rangers,2,2
21/7/2012,La Serena,Huachipato,2,0
22/7/2012,Colo Colo,Cobresal,1,2
22/7/2012,San Felipe,Universidad Catolica,0,1
27/7/2012,Rangers,Iquique,5,0
28/7/2012,Antofagasta,Universidad Catolica,2,2
28/7/2012,Unión Española,San Felipe,3,1
28/7/2012,Cobresal,Universidad de Concepcion,1,1
28/7/2012,Huachipato,Cobreloa,0,1
28/7/2012,Audax Italiano,Wanderers,4,1
29/7/2012,Union Calera,Colo Colo,1,1
29/7/2012,O'Higgins,La Serena,2,1
8/8/2012,Universidad de Chile,Palestino,3,2
3/8/2012,San Felipe,Antofagasta,2,1
4/8/2012,Palestino,Audax Italiano,0,0
4/8/2012,Cobreloa,Rangers,0,1
4/8/2012,Wanderers,La Serena,1,1
4/8/2012,Huachipato,Iquique,4,1
5/8/2012,Universidad de Concepcion,Colo Colo,1,1
5/8/2012,Universidad Catolica,Unión Española,1,1
5/8/2012,Union Calera,Cobresal,1,1
29/8/2012,Universidad de Chile,O'Higgins,1,1
10/8/2012,Audax Italiano,Iquique,0,1
11/8/2012,Unión Española,Palestino,1,0
11/8/2012,Cobresal,Universidad de Chile,1,2
11/8/2012,Huachipato,San Felipe,1,0
11/8/2012,La Serena,Cobreloa,0,0
12/8/2012,Rangers,Universidad Catolica,1,0
12/8/2012,Antofagasta,Union Calera,2,1
12/8/2012,O'Higgins,Universidad de Concepcion,4,1
12/8/2012,Colo Colo,Wanderers,1,1
17/8/2012,Huachipato,Unión Española,2,0
18/8/2012,Palestino,Rangers,4,1
18/8/2012,Union Calera,San Felipe,1,3
18/8/2012,Wanderers,Antofagasta,0,1
18/8/2012,Universidad de Chile,Audax Italiano,2,1
19/8/2012,Cobreloa,Universidad de Concepcion,3,1
19/8/2012,Iquique,Cobresal,3,2
19/8/2012,La Serena,Colo Colo,1,1
19/8/2012,Universidad Catolica,O'Higgins,1,0
24/8/2012,Universidad de Concepcion,La Serena,3,1
25/8/2012,Unión Española,Universidad de Chile,5,2
25/8/2012,Colo Colo,Cobreloa,3,1
25/8/2012,O'Higgins,Iquique,0,1
25/8/2012,Cobresal,Palestino,0,1
25/8/2012,San Felipe,Wanderers,1,0
26/8/2012,Antofagasta,Huachipato,3,0
26/8/2012,Rangers,Audax Italiano,1,0
26/8/2012,Universidad Catolica,Union Calera,1,1
31/8/2012,Audax Italiano,Cobresal,1,1
1/9/2012,Cobreloa,Antofagasta,3,1
1/9/2012,Wanderers,Universidad de Concepcion,3,1
1/9/2012,Iquique,Universidad Catolica,3,2
1/9/2012,Universidad de Chile,San Felipe,2,0
1/9/2012,Huachipato,Rangers,1,2
1/9/2012,La Serena,Unión Española,2,1
2/9/2012,Union Calera,O'Higgins,0,0
2/9/2012,Palestino,Colo Colo,0,3
14/9/2012,Universidad Catolica,Audax Italiano,1,0
15/9/2012,Rangers,Universidad de Chile,2,2
15/9/2012,Universidad de Concepcion,Iquique,0,1
15/9/2012,Cobresal,Wanderers,2,1
15/9/2012,O'Higgins,Cobreloa,1,0
15/9/2012,San Felipe,La Serena,3,0
16/9/2012,Antofagasta,Palestino,0,1
16/9/2012,Colo Colo,Huachipato,3,0
16/9/2012,Unión Española,Union Calera,0,0
21/9/2012,La Serena,Iquique,2,3
22/9/2012,Palestino,Universidad de Concepcion,1,0
22/9/2012,Wanderers,Universidad de Chile,2,2
22/9/2012,Huachipato,Cobresal,1,1
22/9/2012,Audax Italiano,Antofagasta,1,2
22/9/2012,San Felipe,O'Higgins,1,1
23/9/2012,Cobreloa,Universidad Catolica,4,3
23/9/2012,Union Calera,Rangers,2,2
23/9/2012,Colo Colo,Unión Española,3,0
28/9/2012,O'Higgins,Huachipato,2,4
29/9/2012,Universidad de Chile,Union Calera,0,0
29/9/2012,Universidad de Concepcion,San Felipe,1,1
29/9/2012,Cobresal,Antofagasta,3,1
29/9/2012,Rangers,Unión Española,1,0
29/9/2012,Audax Italiano,La Serena,3,2
30/9/2012,Universidad Catolica,Colo Colo,0,2
30/9/2012,Iquique,Cobreloa,1,1
30/9/2012,Wanderers,Palestino,2,3
5/10/2012,Unión Española,Wanderers,2,2
6/10/2012,Palestino,O'Higgins,2,1
6/10/2012,Huachipato,Universidad de Concepcion,2,0
6/10/2012,La Serena,Universidad Catolica,1,3
7/10/2012,Antofagasta,Universidad de Chile,2,4
7/10/2012,Union Calera,Iquique,1,1
7/10/2012,Cobreloa,Cobresal,3,0
7/10/2012,Colo Colo,Rangers,2,2
8/10/2012,San Felipe,Audax Italiano,1,3
20/10/2012,Universidad de Concepcion,Unión Española,2,1
20/10/2012,Iquique,Palestino,2,1
20/10/2012,Universidad Catolica,Huachipato,0,2
20/10/2012,O'Higgins,Wanderers,1,1
21/10/2012,Antofagasta,La Serena,2,1
21/10/2012,Rangers,Cobresal,2,0
21/10/2012,Colo Colo,Universidad de Chile,1,0
21/10/2012,Cobreloa,San Felipe,2,1
21/10/2012,Audax Italiano,Union Calera,2,1
24/10/2012,Wanderers,Iquique,2,1
26/10/2012,San Felipe,Colo Colo,2,1
26/10/2012,Huachipato,Audax Italiano,1,1
27/10/2012,Rangers,O'Higgins,1,2
27/10/2012,Palestino,Cobreloa,2,1
27/10/2012,Cobresal,Universidad Catolica,2,2
27/10/2012,Unión Española,Antofagasta,2,1
27/10/2012,La Serena,Union Calera,0,1
14/11/2012,Universidad de Chile,Universidad de Concepcion,3,1
2/11/2012,Universidad de Concepcion,Rangers,1,0
3/11/2012,Antofagasta,Colo Colo,1,2
3/11/2012,Cobresal,La Serena,2,2
3/11/2012,Palestino,San Felipe,1,2
3/11/2012,Iquique,Unión Española,2,4
3/11/2012,Audax Italiano,O'Higgins,5,1
4/11/2012,Cobreloa,Wanderers,2,4
4/11/2012,Union Calera,Huachipato,0,2
4/11/2012,Universidad de Chile,Universidad Catolica,0,0
10/11/2012,Huachipato,Universidad de Chile,0,3
10/11/2012,La Serena,Palestino,1,1
10/11/2012,Colo Colo,Audax Italiano,5,1
11/11/2012,Universidad Catolica,Universidad de Concepcion,2,2
11/11/2012,Unión Española,Cobreloa,2,1
14/11/2012,O'Higgins,Cobresal,1,2
14/11/2012,San Felipe,Iquique,1,2
14/11/2012,Rangers,Antofagasta,2,2
14/11/2012,Wanderers,Union Calera,2,0
25/1/2013,Rangers,Audax Italiano,1,1
25/1/2013,Huachipato,San Marcos,0,0
26/1/2013,Union Calera,Antofagasta,2,1
26/1/2013,Ñublense,Everton,1,1
26/1/2013,Iquique,Palestino,0,0
27/1/2013,Cobreloa,Colo Colo,5,2
27/1/2013,Cobresal,Unión Española,1,2
27/1/2013,O'Higgins,Universidad Catolica,0,1
27/2/2013,Wanderers,Universidad de Chile,2,1
1/2/2013,Universidad de Chile,Audax Italiano,1,0
1/2/2013,Everton,Huachipato,3,0
2/2/2013,Universidad Catolica,Palestino,1,1
2/2/2013,O'Higgins,Wanderers,2,0
2/2/2013,Unión Española,Rangers,1,2
2/2/2013,San Marcos,Cobresal,3,1
3/2/2013,Ñublense,Antofagasta,0,2
3/2/2013,Cobreloa,Iquique,4,1
3/2/2013,Colo Colo,Union Calera,2,0
8/2/2013,Audax Italiano,San Marcos,1,1
8/2/2013,Huachipato,O'Higgins,0,2
9/2/2013,Iquique,Colo Colo,2,1
9/2/2013,Universidad de Chile,Unión Española,0,3
9/2/2013,Wanderers,Union Calera,3,4
10/2/2013,Cobresal,Everton,0,1
10/2/2013,Palestino,Ñublense,0,1
10/2/2013,Rangers,Universidad Catolica,0,3
10/2/2013,Antofagasta,Cobreloa,0,0
15/2/2013,O'Higgins,Palestino,3,2
15/2/2013,Unión Española,Audax Italiano,4,0
16/2/2013,Everton,Universidad de Chile,1,1
16/2/2013,Union Calera,Iquique,1,0
16/2/2013,Universidad Catolica,Antofagasta,4,2
16/2/2013,San Marcos,Ñublense,0,4
17/2/2013,Cobreloa,Huachipato,3,3
17/2/2013,Cobresal,Rangers,2,2
17/2/2013,Colo Colo,Wanderers,1,0
22/2/2013,Ñublense,O'Higgins,1,1
22/2/2013,Audax Italiano,Cobresal,3,2
23/2/2013,Rangers,Cobreloa,2,2
23/2/2013,Palestino,Colo Colo,1,2
23/2/2013,Huachipato,Unión Española,0,1
23/2/2013,Iquique,Wanderers,0,2
24/2/2013,Universidad Catolica,Union Calera,4,0
24/2/2013,Antofagasta,Everton,1,2
24/2/2013,Universidad de Chile,San Marcos,6,1
1/3/2013,Unión Española,Ñublense,2,2
2/3/2013,Cobresal,Universidad de Chile,1,3
2/3/2013,O'Higgins,Audax Italiano,3,1
2/3/2013,Huachipato,Iquique,2,1
2/3/2013,San Marcos,Everton,2,2
3/3/2013,Cobreloa,Universidad Catolica,4,2
3/3/2013,Union Calera,Rangers,2,0
3/3/2013,Colo Colo,Antofagasta,3,3
3/3/2013,Wanderers,Palestino,0,0
8/3/2013,Ñublense,Cobresal,2,1
8/3/2013,Everton,Cobreloa,0,1
9/3/2013,Palestino,Union Calera,1,0
9/3/2013,Universidad de Chile,Iquique,2,0
9/3/2013,Audax Italiano,Huachipato,0,1
9/3/2013,San Marcos,Unión Española,0,1
10/3/2013,Antofagasta,O'Higgins,1,3
10/3/2013,Rangers,Colo Colo,1,0
10/3/2013,Universidad Catolica,Wanderers,2,3
15/3/2013,Wanderers,Antofagasta,1,4
15/3/2013,O'Higgins,San Marcos,2,1
16/3/2013,Union Calera,Universidad de Chile,2,3
16/3/2013,Huachipato,Universidad Catolica,1,2
16/3/2013,Unión Española,Everton,5,0
17/3/2013,Palestino,Cobresal,3,2
17/3/2013,Iquique,Rangers,0,2
17/3/2013,Cobreloa,Audax Italiano,1,1
17/3/2013,Colo Colo,Ñublense,1,1
28/3/2013,Rangers,Wanderers,0,0
30/3/2013,Unión Española,Iquique,1,0
30/3/2013,Everton,O'Higgins,2,0
30/3/2013,Universidad de Chile,Cobreloa,1,1
30/3/2013,Ñublense,Huachipato,0,3
30/3/2013,San Marcos,Union Calera,1,1
31/3/2013,Cobresal,Universidad Catolica,1,2
31/3/2013,Antofagasta,Palestino,1,2
31/3/2013,Audax Italiano,Colo Colo,3,1
5/4/2013,Union Calera,Audax Italiano,3,3
6/4/2013,Palestino,Rangers,2,2
6/4/2013,Wanderers,San Marcos,3,1
6/4/2013,Iquique,Antofagasta,1,1
6/4/2013,O'Higgins,Cobresal,2,2
6/4/2013,Universidad Catolica,Unión Española,1,3
7/4/2013,Cobreloa,Ñublense,0,2
7/4/2013,Huachipato,Universidad de Chile,3,4
7/4/2013,Colo Colo,Everton,3,0
12/4/2013,Antofagasta,Huachipato,3,3
13/4/2013,Unión Española,Cobreloa,0,0
13/4/2013,Audax Italiano,Iquique,3,1
13/4/2013,Rangers,O'Higgins,1,2
13/4/2013,San Marcos,Colo Colo,2,3
14/4/2013,Ñublense,Universidad Catolica,1,3
14/4/2013,Cobresal,Wanderers,1,2
14/4/2013,Universidad de Chile,Palestino,4,1
14/4/2013,Everton,Union Calera,2,3
19/4/2013,Wanderers,Audax Italiano,2,1
20/4/2013,Palestino,Everton,2,1
20/4/2013,Iquique,Ñublense,0,1
20/4/2013,Rangers,Antofagasta,4,1
20/4/2013,O'Higgins,Universidad de Chile,2,2
20/4/2013,Union Calera,Unión Española,2,1
21/4/2013,Cobreloa,San Marcos,2,1
21/4/2013,Colo Colo,Universidad Catolica,0,1
21/4/2013,Huachipato,Cobresal,0,2
26/4/2013,Unión Española,O'Higgins,0,2
27/4/2013,Everton,Wanderers,3,0
27/4/2013,Audax Italiano,Palestino,1,0
27/4/2013,Universidad Catolica,Iquique,1,1
27/4/2013,San Marcos,Rangers,1,0
28/4/2013,Antofagasta,Universidad de Chile,4,2
28/4/2013,Ñublense,Union Calera,0,2
28/4/2013,Cobresal,Cobreloa,1,4
28/4/2013,Colo Colo,Huachipato,2,2
3/5/2013,O'Higgins,Cobreloa,1,1
4/5/2013,Iquique,Cobresal,3,0
4/5/2013,Antofagasta,Audax Italiano,1,0
4/5/2013,Universidad Catolica,Everton,2,0
4/5/2013,Rangers,Ñublense,0,0
4/5/2013,Palestino,San Marcos,2,2
4/5/2013,Wanderers,Unión Española,0,2
5/5/2013,Universidad de Chile,Colo Colo,3,2
5/5/2013,Union Calera,Huachipato,0,1
10/5/2013,Huachipato,Wanderers,3,1
11/5/2013,Unión Española,Antofagasta,3,1
11/5/2013,San Marcos,Iquique,1,1
11/5/2013,Audax Italiano,Universidad Catolica,1,2
11/5/2013,Everton,Rangers,2,1
12/5/2013,Ñublense,Universidad de Chile,1,3
12/5/2013,Cobreloa,Palestino,1,0
12/5/2013,Cobresal,Union Calera,2,1
12/5/2013,Colo Colo,O'Higgins,1,2
17/5/2013,Audax Italiano,Everton,1,3
18/5/2013,Palestino,Unión Española,1,2
18/5/2013,Union Calera,Cobreloa,1,2
18/5/2013,Antofagasta,San Marcos,3,1
18/5/2013,Colo Colo,Cobresal,2,0
18/5/2013,Wanderers,Ñublense,3,1
19/5/2013,Universidad Catolica,Universidad de Chile,3,0
19/5/2013,Iquique,O'Higgins,2,1
19/5/2013,Rangers,Huachipato,5,2
24/5/2013,Universidad de Chile,Rangers,1,2
25/5/2013,Ñublense,Audax Italiano,2,4
25/5/2013,Cobresal,Antofagasta,3,2
25/5/2013,Cobreloa,Wanderers,2,0
25/5/2013,O'Higgins,Union Calera,0,1
25/5/2013,Huachipato,Palestino,0,2
25/5/2013,Everton,Iquique,2,1
26/5/2013,San Marcos,Universidad Catolica,1,2
26/5/2013,Unión Española,Colo Colo,1,0
11/12/2013,Universidad Catolica,O'Higgins,0,1
27/7/2013,Everton,Palestino,0,2
27/7/2013,Huachipato,Wanderers,0,1
27/7/2013,Union Calera,Cobresal,1,1
27/7/2013,Universidad de Chile,Rangers,0,1
27/7/2013,Antofagasta,Unión Española,1,0
28/7/2013,Audax Italiano,Colo Colo,4,0
28/7/2013,Cobreloa,Universidad de Concepcion,2,0
28/7/2013,Iquique,O'Higgins,0,1
28/7/2013,Universidad Catolica,Ñublense,3,0
2/8/2013,O'Higgins,Antofagasta,2,1
3/8/2013,Unión Española,Universidad Catolica,0,1
3/8/2013,Wanderers,Audax Italiano,0,0
3/8/2013,Palestino,Universidad de Chile,1,1
3/8/2013,Rangers,Huachipato,1,0
4/8/2013,Ñublense,Cobreloa,1,1
4/8/2013,Cobresal,Iquique,0,0
4/8/2013,Colo Colo,Everton,0,2
4/9/2013,Universidad de Concepcion,Union Calera,1,1
9/8/2013,Universidad de Chile,Cobresal,3,0
10/8/2013,Universidad Catolica,Universidad de Concepcion,1,1
10/8/2013,Palestino,Wanderers,2,2
10/8/2013,Everton,Rangers,3,1
10/8/2013,Audax Italiano,O'Higgins,1,1
11/8/2013,Antofagasta,Colo Colo,1,1
11/8/2013,Iquique,Unión Española,2,1
11/8/2013,Union Calera,Ñublense,2,1
11/8/2013,Huachipato,Cobreloa,0,0
16/8/2013,O'Higgins,Everton,1,1
17/8/2013,Unión Española,Huachipato,0,2
17/8/2013,Universidad de Concepcion,Palestino,2,0
17/8/2013,Universidad Catolica,Audax Italiano,1,1
17/8/2013,Cobreloa,Wanderers,2,1
17/8/2013,Rangers,Union Calera,2,2
18/8/2013,Ñublense,Universidad de Chile,2,2
18/8/2013,Cobresal,Antofagasta,2,0
18/8/2013,Colo Colo,Iquique,4,1
23/8/2013,Ñublense,Unión Española,0,2
24/8/2013,Wanderers,O'Higgins,0,3
24/8/2013,Palestino,Universidad Catolica,3,6
24/8/2013,Audax Italiano,Cobreloa,1,1
25/8/2013,Everton,Universidad de Concepcion,2,3
25/8/2013,Huachipato,Colo Colo,0,0
25/8/2013,Iquique,Union Calera,2,1
25/8/2013,Rangers,Cobresal,1,2
25/8/2013,Universidad de Chile,Antofagasta,5,0
30/8/2013,Antofagasta,Everton,2,0
31/8/2013,Universidad de Concepcion,Ñublense,2,2
31/8/2013,Union Calera,Audax Italiano,1,1
31/8/2013,Universidad Catolica,Cobresal,3,0
31/8/2013,O'Higgins,Palestino,0,1
1/9/2013,Colo Colo,Unión Española,0,2
1/9/2013,Cobreloa,Rangers,2,1
1/9/2013,Iquique,Huachipato,1,1
1/9/2013,Universidad de Chile,Wanderers,2,2
13/9/2013,Audax Italiano,Antofagasta,3,4
14/9/2013,Palestino,Union Calera,1,1
14/9/2013,Rangers,Colo Colo,0,3
14/9/2013,Wanderers,Iquique,0,2
14/9/2013,Unión Española,Cobreloa,0,1
14/9/2013,O'Higgins,Ñublense,1,0
15/9/2013,Everton,Universidad de Chile,2,1
15/9/2013,Cobresal,Universidad de Concepcion,1,0
15/9/2013,Huachipato,Universidad Catolica,0,4
20/9/2013,Everton,Unión Española,1,2
21/9/2013,Universidad de Concepcion,Rangers,2,1
21/9/2013,Union Calera,Wanderers,1,3
21/9/2013,Cobreloa,Cobresal,2,0
21/9/2013,Colo Colo,Palestino,0,1
21/9/2013,Universidad Catolica,O'Higgins,1,2
22/9/2013,Ñublense,Huachipato,3,1
22/9/2013,Antofagasta,Iquique,1,2
22/9/2013,Universidad de Chile,Audax Italiano,2,0
27/9/2013,O'Higgins,Huachipato,1,0
28/9/2013,Palestino,Cobreloa,2,0
28/9/2013,Cobresal,Colo Colo,3,1
28/9/2013,Union Calera,Antofagasta,1,1
29/9/2013,Universidad de Concepcion,Audax Italiano,2,1
29/9/2013,Wanderers,Everton,3,0
29/9/2013,Rangers,Ñublense,0,3
29/9/2013,Unión Española,Universidad de Chile,0,2
29/9/2013,Iquique,Universidad Catolica,2,2
4/10/2013,Huachipato,Palestino,0,2
5/10/2013,Ñublense,Wanderers,2,3
5/10/2013,Everton,Cobresal,0,1
5/10/2013,Universidad de Chile,O'Higgins,1,1
5/10/2013,Audax Italiano,Unión Española,0,2
5/10/2013,Universidad Catolica,Rangers,5,1
6/10/2013,Antofagasta,Universidad de Concepcion,1,1
6/10/2013,Cobreloa,Iquique,2,3
6/10/2013,Colo Colo,Union Calera,2,0
18/10/2013,Audax Italiano,Ñublense,0,2
19/10/2013,Unión Española,Palestino,2,1
19/10/2013,Universidad de Concepcion,O'Higgins,0,1
19/10/2013,Universidad Catolica,Wanderers,2,0
19/10/2013,Iquique,Universidad de Chile,0,3
20/10/2013,Union Calera,Everton,2,0
20/10/2013,Cobresal,Huachipato,1,0
20/10/2013,Antofagasta,Rangers,0,2
20/10/2013,Colo Colo,Cobreloa,2,1
25/10/2013,Huachipato,Audax Italiano,2,1
26/10/2013,Palestino,Antofagasta,0,1
26/10/2013,O'Higgins,Colo Colo,2,3
26/10/2013,Rangers,Unión Española,1,1
26/10/2013,Everton,Iquique,1,0
27/10/2013,Universidad de Chile,Universidad Catolica,1,1
27/10/2013,Wanderers,Universidad de Concepcion,2,1
27/10/2013,Cobreloa,Union Calera,1,0
27/10/2013,Ñublense,Cobresal,2,1
1/11/2013,Universidad de Concepcion,Colo Colo,4,1
1/11/2013,Rangers,Palestino,2,3
