Date,HT,AT,HS,AS
13/2/2009,Everton,Iquique,1,0
14/2/2009,Colo Colo,Universidad de Concepcion,2,0
14/2/2009,La Serena,Universidad Catolica,1,2
14/2/2009,Ñublense,Santiago Morning,2,1
14/2/2009,Palestino,Audax Italiano,0,2
15/2/2009,Huachipato,Curicó,0,0
15/2/2009,Cobresal,Unión Española,1,3
15/2/2009,Universidad de Chile,Cobreloa,4,1
15/2/2009,O'Higgins,Rangers,1,0
21/2/2009,Everton,Rangers,3,2
21/2/2009,Santiago Morning,Huachipato,5,0
21/2/2009,Universidad de Concepcion,O'Higgins,2,0
21/2/2009,Unión Española,Universidad de Chile,0,1
22/2/2009,Audax Italiano,Colo Colo,2,1
22/2/2009,Cobresal,Cobreloa,1,4
22/2/2009,Curicó,La Serena,1,1
22/2/2009,Iquique,Palestino,3,0
22/2/2009,Universidad Catolica,Ñublense,1,0
25/2/2009,Cobreloa,Palestino,4,0
25/2/2009,Colo Colo,Santiago Morning,4,2
25/2/2009,La Serena,Huachipato,3,1
25/2/2009,O'Higgins,Universidad Catolica,3,1
25/2/2009,Rangers,Cobresal,1,2
25/2/2009,Unión Española,Iquique,2,0
25/2/2009,Universidad de Concepcion,Audax Italiano,3,1
28/3/2009,Ñublense,Everton,1,1
22/4/2009,Curicó,Universidad de Chile,1,3
28/2/2009,Ñublense,Cobresal,1,1
28/2/2009,Rangers,Colo Colo,2,1
28/2/2009,Universidad de Chile,Iquique,0,0
1/3/2009,Audax Italiano,Unión Española,2,2
1/3/2009,Cobreloa,La Serena,1,1
1/3/2009,Huachipato,Universidad Catolica,2,0
1/3/2009,O'Higgins,Everton,0,1
1/3/2009,Palestino,Curicó,0,4
1/3/2009,Santiago Morning,Universidad de Concepcion,5,4
7/3/2009,Everton,Universidad de Chile,1,1
7/3/2009,Universidad de Concepcion,Rangers,2,2
7/3/2009,Unión Española,Palestino,2,1
8/3/2009,Cobresal,Huachipato,0,0
8/3/2009,Curicó,Audax Italiano,1,4
8/3/2009,Iquique,Santiago Morning,2,2
8/3/2009,La Serena,Ñublense,3,0
8/3/2009,Universidad Catolica,Cobreloa,4,0
18/3/2009,Colo Colo,O'Higgins,1,1
14/3/2009,Audax Italiano,Universidad de Chile,1,2
14/3/2009,Huachipato,O'Higgins,3,0
14/3/2009,Ñublense,Iquique,2,1
14/3/2009,Palestino,Universidad de Concepcion,4,2
15/3/2009,Cobreloa,Unión Española,2,1
15/3/2009,Colo Colo,Universidad Catolica,0,1
15/3/2009,Curicó,Rangers,2,1
15/3/2009,Santiago Morning,Cobresal,3,3
22/4/2009,La Serena,Everton,1,3
21/3/2009,Universidad de Concepcion,La Serena,0,0
21/3/2009,Unión Española,Colo Colo,5,2
22/3/2009,Cobresal,Curicó,1,0
22/3/2009,Iquique,Audax Italiano,3,3
22/3/2009,O'Higgins,Cobreloa,1,1
22/3/2009,Rangers,Huachipato,1,1
22/3/2009,Santiago Morning,Palestino,5,1
22/3/2009,Universidad Catolica,Everton,1,1
22/3/2009,Universidad de Chile,Ñublense,3,0
4/4/2009,Audax Italiano,Huachipato,1,0
4/4/2009,Colo Colo,Iquique,1,2
4/4/2009,Everton,Santiago Morning,1,3
4/4/2009,La Serena,Unión Española,0,3
4/4/2009,Ñublense,Rangers,1,1
5/4/2009,Curicó,Universidad Catolica,3,2
5/4/2009,Palestino,Cobresal,2,0
5/4/2009,Universidad de Chile,O'Higgins,2,2
5/4/2009,Cobreloa,Universidad de Concepcion,2,0
